	title	author	filename	genre	sources
429	Schnaps-Anton	Georg von Ompteda	Ompteda_Schnaps-Anton_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/schnaps/schnaps.html
430	Unser Herz	Georg von Ompteda	Ompteda_UnserHerz_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/maupassa/unsherz/unsherz.html
431	Tag- und Nachtgeschichten	Georg von Ompteda	Ompteda_Tag-undNachtgeschichten_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/maupassa/tagnacht/tagnacht.html
432	Mont Oriol	Georg von Ompteda	Ompteda_MontOriol_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/maupassa/oriol/oriol.html
433	Don Juan	Gerrit Engelke	Engelke_DonJuan_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/engelke/donjuan/donjuan.html
434	Das schnellste Schiff der Flotte	Gorch Fock, eigentlich Johann Kinau	Kinau_DasschnellsteSchiffderFlotte_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/fock/schnells/schnells.html
435	Nach dem Sturm	Gorch Fock, eigentlich Johann Kinau	Kinau_NachdemSturm_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/fock/nachstur/nachstur.html
436	Seefahrt ist not!	Gorch Fock, eigentlich Johann Kinau	Kinau_Seefahrtistnot_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/fock/seefahrt/seefahrt.html
437	Nachgelassene Erzählungen	Gottfried Keller	Keller_NachgelasseneErzählungen_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/keller/nachgela/nachgela.html
438	Züricher Novellen	Gottfried Keller	Keller_ZüricherNovellen_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/keller/zuercher/zuercher.html
439	Kreuz und Schwert	Gregor Samarow, eigentlich Johann Ferdinand Martin Oskar Meding	Meding_KreuzundSchwert_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/meding/kreuzsch/kreuzsch.html
440	Ritter oder Dame	Gregor Samarow, eigentlich Johann Ferdinand Martin Oskar Meding	Meding_RitteroderDame_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/meding/ritterda/ritterda.html
441	Der Mann im Nebel	Gustav Falke	Falke_DerMannimNebel_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/falke/mannebel/mannebel.html
442	Aus dem Durchschnitt	Gustav Falke	Falke_AusdemDurchschnitt_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/falke/durchsch/durchsch.html
443	Die Kinder aus Ohlsens Gang	Gustav Falke	Falke_DieKinderausOhlsensGang_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/falke/ohlsensg/ohlsensg.html
444	Herr Purtaller und seine Tochter	Gustav Falke	Falke_HerrPurtallerundseineTochter_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/falke/purtalle/purtalle.html
445	Landen und Stranden	Gustav Falke	Falke_LandenundStranden_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/falke/landen/landen.html
446	Die verlorene Handschrift	Gustav Freytag	Freytag_DieverloreneHandschrift_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/freytag/handschr/handschr.html
447	Soll und Haben	Gustav Freytag	Freytag_SollundHaben_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/freytag/sollhabn/sollhabn.html
448	Das grüne Gesicht	Gustav Meyrink, eigentlich Gustav Meyer	Meyer_DasgrüneGesicht_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/meyrink/gruenges/gruenges.html
449	Der Löwe Alois und andere Geschichten	Gustav Meyrink, eigentlich Gustav Meyer	Meyer_DerLöweAloisundandereGeschichten_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/meyrink/alois/alois.html
450	Der seltsame Gast	Gustav Meyrink, eigentlich Gustav Meyer	Meyer_DerseltsameGast_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/meyrink/gast/gast.html
451	Der Engel vom westlichen Fenster	Gustav Meyrink, eigentlich Gustav Meyer	Meyer_DerEngelvomwestlichenFenster_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/meyrink/engelfen/engelfen.html
452	Der Golem	Gustav Meyrink, eigentlich Gustav Meyer	Meyer_DerGolem_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/meyrink/golem/golem.html
453	Der weiße Dominikaner	Gustav Meyrink, eigentlich Gustav Meyer	Meyer_DerweißeDominikaner_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/meyrink/dominika/dominika.html
454	Die Abenteuer des Polen Sendivogius	Gustav Meyrink, eigentlich Gustav Meyer	Meyer_DieAbenteuerdesPolenSendivogius_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/meyrink/sendivog/sendivog.html
455	Walpurgisnacht	Gustav Meyrink, eigentlich Gustav Meyer	Meyer_Walpurgisnacht_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/meyrink/walpurgi/walpurgi.html
456	Des deutschen Spießers Wunderhorn	Gustav Meyrink, eigentlich Gustav Meyer	Meyer_DesdeutschenSpießersWunderhorn_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/meyrink/wunderho/inhalt.html
457	Ein Namenloser	Gustav Sack	Sack_EinNamenloser_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/sack/namenlos/namenlos.html
458	Ein verbummelter Student	Gustav Sack	Sack_EinverbummelterStudent_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/sack/verbstud/verbstud.html
459	Erzählungen aus den alten Volksbüchern	Gustav Schwab	Schwab_ErzählungenausdenaltenVolksbüchern_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/schwab/erzvolks/erzvolks.html
460	Arge Sitten	Hans von Hopfen, eigentlich Hans Mayer	Mayer_ArgeSitten_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/hopfen/argesitt/argesitt.html
461	Der alte Praktikant	Hans von Hopfen, eigentlich Hans Mayer	Mayer_DeraltePraktikant_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/hopfen/praktik/praktik.html
462	Die Geschichten des Majors	Hans von Hopfen, eigentlich Hans Mayer	Mayer_DieGeschichtendesMajors_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/hopfen/major/major.html
463	Die Heirath des Herrn von Waldenbergt	Hans von Hopfen, eigentlich Hans Mayer	Mayer_DieHeirathdesHerrnvonWaldenbergt_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/hopfen/waldberg/waldberg.html
464	Peregretta	Hans von Hopfen, eigentlich Hans Mayer	Mayer_Peregretta_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/hopfen/peregret/peregret.html
465	Robert Leichtfuß	Hans von Hopfen, eigentlich Hans Mayer	Mayer_RobertLeichtfuß_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/hopfen/leichtfu/leichtfu.html
466	Verdorben zu Paris	Hans von Hopfen, eigentlich Hans Mayer	Mayer_VerdorbenzuParis_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/hopfen/verdorb/verdorb.html
467	Miß Lydia	Hans Wachenhusen	Wachenhusen_MißLydia_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/wachenhu/lydia/lydia.html
468	Was die Straße verschlingt. Erster Band	Hans Wachenhusen	Wachenhusen_WasdieStraßeverschlingtErsterBand_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/wachenhu/strasse1/strasse1.html
469	Flitter und Schein	Hedwig Dransfeld	Dransfeld_FlitterundSchein_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/dransfel/flitter/flitter.html
470	Das Dijon-Röschen	Heinrich Clauren, eigentlich Karl Gottlieb Samuel Heun	Heun_DasDijon-Röschen_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/heun/dijonros/dijonros.html
471	Das Raubschloß	Heinrich Clauren, eigentlich Karl Gottlieb Samuel Heun	Heun_DasRaubschloß_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/heun/raubschl/raubschl.html
472	Der Blutschatz	Heinrich Clauren, eigentlich Karl Gottlieb Samuel Heun	Heun_DerBlutschatz_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/heun/blutschz/blutschz.html
473	Der selige Papier-Müller	Heinrich Clauren, eigentlich Karl Gottlieb Samuel Heun	Heun_DerseligePapier-Müller_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/heun/papierml/papierml.html
474	Die Gräfin Cherubim	Heinrich Clauren, eigentlich Karl Gottlieb Samuel Heun	Heun_DieGräfinCherubim_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/heun/cherubim/cherubim.html
475	Die Gränz-Kommission	Heinrich Clauren, eigentlich Karl Gottlieb Samuel Heun	Heun_DieGränz-Kommission_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/heun/graenzko/graenzko.html
476	Die Großmutter	Heinrich Clauren, eigentlich Karl Gottlieb Samuel Heun	Heun_DieGroßmutter_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/heun/grossmtr/grossmtr.html
477	Die Versuchung	Heinrich Clauren, eigentlich Karl Gottlieb Samuel Heun	Heun_DieVersuchung_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/heun/versuchu/versuchu.html
478	Makk	Heinrich Clauren, eigentlich Karl Gottlieb Samuel Heun	Heun_Makk_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/heun/makk/makk.html
479	Mimili	Heinrich Clauren, eigentlich Karl Gottlieb Samuel Heun	Heun_Mimili_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/heun/mimili/mimili.html
480	Berge und Menschen	Heinrich Federer	Federer_BergeundMenschen_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/federer/bergmens/bergmens.html
481	Das letzte Stündlein des Papstes	Heinrich Federer	Federer_DasletzteStündleindesPapstes_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/federer/stuendle/stuendle.html
482	Das Wunder in Holzschuhen	Heinrich Federer	Federer_DasWunderinHolzschuhen_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/federer/wunder/wunder.html
483	Der Fürchtemacher	Heinrich Federer	Federer_DerFürchtemacher_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/federer/fuerchte/fuerchte.html
484	Gebt mir meine Wildnis wieder	Heinrich Federer	Federer_GebtmirmeineWildniswieder_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/federer/wildnis/wildnis.html
485	Jungfer Therese	Heinrich Federer	Federer_JungferTherese_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/federer/therese/therese.html
486	Lachweiler Geschichten	Heinrich Federer	Federer_LachweilerGeschichten_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/federer/lachweil/lachweil.html
487	Regina Lob	Heinrich Federer	Federer_ReginaLob_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/federer/lob/lob.html
488	Sisto e Sesto (Erzählung)	Heinrich Federer	Federer_SistoeSesto(Erzählung)_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/federer/sisto/sisto.html
489	Spitzbube über Spitzbube	Heinrich Federer	Federer_SpitzbubeüberSpitzbube_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/federer/spitzbub/spitzbub.html
490	Unter südlichen Sonnen und Menschen	Heinrich Federer	Federer_UntersüdlichenSonnenundMenschen_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/federer/suedsonn/suedsonn.html
491	Wander- und Wundergeschichten aus dem Süden	Heinrich Federer	Federer_Wander-undWundergeschichtenausdemSüden_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/federer/wandwund/wandwund.html
492	Zwei Skizzenblätter	Heinrich Hart	Hart_ZweiSkizzenblätter_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/harth/2skizzen/2skizzen.html
493	Romanzero	Heinrich Heine	Heine_Romanzero_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/heine/romanzro/romanzro.html
494	Das Glück	Heinrich Laube	Laube_DasGlück_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/laube/glueck/glueck.html
495	Der deutsche Krieg. I. Buch, Junker Hans. 1. Theil	Heinrich Laube	Laube_DerdeutscheKriegIBuchJunkerHans1Theil_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/laube/dkrieg1/dkrieg1.html
496	Die Schauspielerin	Heinrich Laube	Laube_DieSchauspielerin_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/laube/schausp/schausp.html
497	Liebesbriefe	Heinrich Laube	Laube_Liebesbriefe_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/laube/liebbrie/liebbrie.html
498	Novellen	Heinrich Laube	Laube_Novellen_gutenberg.txt	Novelle	https://www.projekt-gutenberg.org/laube/novellen/novellen.html
499	Im Hirtenhaus	Heinrich Schaumberger	Schaumberger_ImHirtenhaus_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/schaumbe/hirthaus/hirthaus.html
500	Fritz Reinhardt	Heinrich Schaumberger	Schaumberger_FritzReinhardt_gutenberg.txt	Roman	https://www.projekt-gutenberg.org/schaumbe/reinhard/reinhard.html
501	Gesalzene Krapfen	Heinrich Schaumberger	Schaumberger_GesalzeneKrapfen_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/schaumbe/krapfen/krapfen.html
502	Umsingen	Heinrich Schaumberger	Schaumberger_Umsingen_gutenberg.txt	Erzählung	https://www.projekt-gutenberg.org/schaumbe/umsingen/umsingen.html
